style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
icgc-gris,step-01-simplify_unary,1,fps,297.2170,238.5119,322.2209,149.8979,376.8049,54,0.773008
icgc-gris,step-03-constant_fold,3,loadMs,1202.6500,1152.4000,1257.2500,1100.7000,1408.9750,54,0.164360
icgc-gris,step-03-constant_fold,3,fps,275.5754,233.0428,311.7209,173.4225,347.4166,54,0.766426
icgc-gris,step-05-simplify_expressions,5,loadMs,1194.4000,1137.5000,1337.0500,1036.6500,1471.3750,54,0.328441
icgc-gris,step-05-simplify_expressions,5,fps,257.6893,223.8428,311.2640,170.0319,368.7974,54,0.846387
icgc-gris,step-06-strip_defaults,6,loadMs,1179.7500,1122.1500,1220.9500,1041.0500,1376.4250,54,0.596437
icgc-gris,step-06-strip_defaults,6,fps,279.2794,234.4299,341.4766,192.1272,399.9578,54,0.608435
icgc-gris,step-07-minify_colors,7,loadMs,1175.6000,1117.4500,1237.1500,1022.2000,1327.0500,54,0.415837
icgc-gris,step-07-minify_colors,7,fps,282.8201,251.0535,325.7586,197.7715,392.2366,54,0.645052
icgc-gris,step-08-strip_metadata,8,loadMs,1187.0500,1108.8500,1225.0500,1050.3250,1340.3500,54,0.345774
icgc-gris,step-08-strip_metadata,8,fps,301.0535,255.9282,345.5982,208.7838,434.2792,54,0.159199
icgc-gris,step-09-dead_elimination,9,loadMs,1176.5000,1136.8000,1269.8000,1046.3500,1381.5000,54,0.617501
icgc-gris,step-09-dead_elimination,9,fps,315.1957,266.6727,348.1444,223.3582,393.6482,54,0.082748
icgc-gris,step-12-metadata_refinement_paint,12,loadMs,1197.6000,1093.2000,1242.4500,1015.6500,1337.6750,54,0.118110
icgc-gris,step-12-metadata_refinement_paint,12,fps,311.6488,259.5694,338.6881,217.2686,427.8006,54,0.226380
icgc-gris,step-14-cleanup,14,loadMs,1197.5000,1113.9000,1259.8500,1040.8000,1413.7000,54,0.746784
icgc-gris,step-14-cleanup,14,fps,310.1662,249.0307,348.3731,195.5009,417.7626,54,0.638886
klokan-basic,step-00-baseline,0,loadMs,359.5000,338.2500,369.9000,319.3750,377.0250,54,
klokan-basic,step-00-baseline,0,fps,1060.2124,957.6008,1165.9169,906.8361,1284.6998,54,
klokan-basic,step-01-simplify_unary,1,loadMs,363.8000,345.2500,381.7000,329.6000,398.5750,54,0.163058
klokan-basic,step-01-simplify_unary,1,fps,1070.5697,974.8192,1138.3723,914.0622,1254.4911,54,0.887026
klokan-basic,step-03-constant_fold,3,loadMs,351.5000,343.1000,362.6000,333.5500,367.8000,54,0.975959
klokan-basic,step-03-constant_fold,3,fps,1026.6039,928.5144,1174.4033,868.6765,1327.6069,54,0.853135
klokan-basic,step-05-simplify_expressions,5,loadMs,361.7000,337.7000,371.1500,314.2000,384.4250,54,0.386857
klokan-basic,step-05-simplify_expressions,5,fps,1023.9284,943.8980,1126.5647,888.2434,1293.7401,54,0.144446
klokan-basic,step-06-strip_defaults,6,loadMs,356.2000,336.6000,375.3500,313.0000,384.4500,54,0.472166
klokan-basic,step-06-strip_defaults,6,fps,1040.0663,954.9016,1204.9023,893.6650,1331.5278,54,0.246834
klokan-basic,step-07-minify_colors,7,loadMs,351.3500,336.3500,368.5500,323.9750,387.7250,54,0.584551
klokan-basic,step-07-minify_colors,7,fps,1014.0631,939.6820,1193.8330,876.7721,1309.6294,54,0.989695
liberty,step-00-baseline,0,loadMs,492.9500,469.8500,534.6500,343.2250,609.2250,270,
liberty,step-00-baseline,0,fps,646.1291,618.8101,675.9160,474.8476,879.5554,270,
liberty,step-01-simplify_unary,1,loadMs,491.5500,473.9500,537.8500,343.3250,613.8500,270,0.859544
liberty,step-01-simplify_unary,1,fps,648.4532,621.1079,675.8978,472.1100,868.8429,270,0.515331
liberty,step-04-constant_fold_stats,4,loadMs,488.6000,466.2000,523.7000,340.2750,603.7250,270,0.000002
liberty,step-04-constant_fold_stats,4,fps,645.5826,620.4795,675.0006,477.4657,864.2274,270,0.807149
liberty,step-05-simplify_expressions,5,loadMs,551.0000,516.8000,599.5000,349.3750,665.1000,270,0.000000
liberty,step-05-simplify_expressions,5,fps,622.7277,600.8921,646.2018,460.2995,878.0865,270,0.000000
liberty,step-06-strip_defaults,6,loadMs,547.4500,522.0500,594.8038,350.6250,667.8750,270,0.000000
liberty,step-06-strip_defaults,6,fps,628.1922,603.8448,654.1233,460.3737,885.9567,270,0.000000
liberty,step-07-minify_colors,7,loadMs,546.0500,522.2987,597.2000,350.9500,669.2250,270,0.000000
liberty,step-07-minify_colors,7,fps,629.1189,607.4831,663.8637,464.3195,888.3219,270,0.000000
liberty,step-15-layer_merge,15,loadMs,542.1000,517.7500,590.4000,345.4750,667.6250,270,0.000000
liberty,step-15-layer_merge,15,fps,649.4506,626.0787,667.9861,478.2038,893.0645,270,0.340755
liberty,step-16-selectivity_reorder,16,loadMs,539.0500,516.4000,585.9000,349.0250,653.8750,270,0.000000
liberty,step-16-selectivity_reorder,16,fps,647.6648,609.6084,672.9984,475.0522,880.6436,270,0.015011
liberty,step-17-tile_shave_only,17,loadMs,125.3000,124.3000,126.3000,122.3000,129.5000,195,0.000000
